submission_date,state,tot_cases,conf_cases,new_case,tot_death,conf_death,new_death
2020-09-13,NV,73766,73537,317,1487,0,3
2021-10-06,NV,434754,424995,738,7246,0,25
2020-02-24,CT,0,0,0,0,0,0
2021-03-13,NE,205615,0,170,2127,0,3
2020-03-17,MD,57,0,20,0,0,0
2021-08-23,MI,1044958,933394,1429,21405,20123,5
2021-04-17,NC,937828,810441,2179,12943,11439,16
2020-12-03,ID,106455,89739,1721,1014,927,23
2021-04-05,VT,18925,0,115,228,0,0
2021-10-31,VT,37331,0,269,360,0,3
2020-05-14,MT,466,466,4,16,16,0
2020-12-11,VT,5218,0,116,98,0,2
2020-10-15,WA,97724,0,691,2232,0,11
2020-07-21,MO,45475,0,1216,1271,0,16
2021-09-13,VT,28153,0,103,282,0,1
2021-04-07,MO,571951,0,666,8836,0,3
2021-07-26,NE,227630,0,322,2272,0,-5
2020-12-25,IL,930849,930849,5742,17154,15799,194
2020-04-01,DE,451,447,37,11,0,1
2021-05-22,MO,596262,0,293,9006,0,0
2021-05-15,MS,315796,193449,115,7374,5088,0
2021-02-01,DE,80037,76178,214,1101,991,11
2020-03-06,ND,0,0,0,0,0,0
2020-07-31,MO,55735,0,1014,1395,0,14
2021-08-28,ID,218645,174494,758,2328,2015,1
2020-02-26,IL,2,0,0,0,0,0
2020-11-04,MD,148766,0,1000,4323,4161,13
2020-04-17,ME,827,0,31,29,0,2
2020-10-20,NC,248449,239343,1723,4362,4284,41
2021-10-18,ND,142407,122955,923,1690,0,10
2020-11-16,NE,101378,0,2185,797,0,18
2020-02-21,IN,0,0,0,0,0,0
2020-02-06,ID,0,0,0,0,0,0
2021-03-02,IL,1189416,1189416,1577,22803,20583,44
2020-02-01,WA,1,0,0,0,0,0
2021-01-02,WA,251660,0,4073,3461,0,0
2021-08-02,NH,100986,0,111,1387,0,0
2020-08-12,NV,58270,58048,525,1024,0,15
2020-07-14,WA,42146,0,587,1404,0,5
2020-06-11,CT,44461,42557,114,4146,3308,26
2021-08-31,MS,439661,258403,2939,8490,5779,31
2020-09-02,WA,75771,0,376,1935,0,4
2020-12-27,ME,22320,19129,439,326,321,1
2020-12-05,MS,168166,129155,1592,4588,3766,30
2021-10-28,IN,1016722,0,2070,16662,16113,19
2020-06-29,MI,123500,112195,1873,6303,5996,10
2020-02-24,NH,0,0,0,0,0,0
2020-09-09,MS,91190,84834,566,3002,2767,16
2020-08-25,ND,10467,10467,238,138,0,0
2022-01-28,NE,435358,311982,0,3666,3037,0
2021-05-13,NH,97304,0,211,1326,0,4
2020-11-30,ME,11976,10675,468,214,213,23
2022-01-01,MO,1006913,0,0,16074,0,0
2021-09-10,ME,80503,57747,574,961,897,2
2021-03-29,ID,179763,144526,335,1957,1706,3
2020-06-16,MO,18244,0,458,1013,0,9
2020-06-04,ND,2706,2706,27,66,0,0
2021-07-03,IN,754968,0,244,13866,13442,13
2021-10-11,NH,124845,0,213,1498,0,1
2021-08-02,IL,1425219,1425219,1870,25930,23451,6
2021-11-25,ID,305133,242004,0,3891,3207,0
2021-01-23,NC,719949,644337,6661,10257,9201,93
2020-09-19,VT,1575,0,3,57,0,0
2021-11-20,WI,945715,844612,0,9816,8848,0
2020-03-29,ID,310,0,49,6,0,1
2020-10-21,AL,175473,154309,1371,4380,3763,6
2021-11-02,NV,452450,441146,950,7668,0,12
2020-11-01,MT,33495,33495,694,376,376,1
2021-04-07,CA,3586059,3586059,2229,58659,58659,118
2021-05-21,AL,541255,418250,251,11345,9062,6
2021-07-08,WI,678459,613484,227,8158,7335,4
2021-07-02,MD,462439,0,85,9788,9571,5
2021-03-06,AL,498757,393919,392,10670,8531,18
2021-10-01,IN,965982,0,3174,15677,15185,28
2020-09-26,NV,78457,78355,602,1624,0,9
2021-07-04,NC,1006614,861715,454,13647,12036,2
2020-12-08,NE,141677,0,1571,1277,0,41
2021-11-17,IN,1061791,0,3412,17191,16618,44
2020-09-19,CT,55527,53218,0,4492,3597,0
2020-10-02,IL,300385,297646,2456,8992,8743,52
2021-10-05,IN,974169,0,2102,15836,15335,71
2020-02-07,NV,0,0,0,0,0,0
2020-08-20,AL,112418,106391,1038,3061,2714,29
2021-07-31,CA,4004855,3840364,0,63935,63935,0
2021-07-31,CT,354749,323852,414,8293,6821,0
2021-09-29,MD,530861,0,1125,10455,10227,9
2022-02-23,ME,224048,163130,1123,2024,1832,53
2022-02-18,WA,1398355,0,2617,11615,0,93
2020-11-02,IN,185185,0,3077,4374,4147,26
2021-10-27,ME,103036,73563,572,1160,1073,6
2021-12-22,VT,55351,0,620,439,0,3
2021-04-23,NC,948376,818449,1973,13018,11503,14
2021-09-14,WI,760401,683714,2488,8646,7771,14
2021-10-13,MS,497379,285743,528,9907,6633,6
2020-10-23,ND,36874,36874,935,448,0,8
2020-06-27,WI,30227,27286,559,784,777,11
2021-12-12,NC,1567252,1320750,2708,19219,16908,18
2020-10-09,IN,131493,0,1816,3759,3542,19
2020-04-13,MS,4363,4338,217,311,310,13
2020-02-10,NH,0,0,0,0,0,0
2020-04-06,MS,3181,3159,204,217,216,8
2020-12-08,NV,173281,173281,2694,2359,0,40
2021-03-13,VT,15502,0,83,212,0,0
2020-09-24,MS,98333,90182,550,3190,2912,2
2021-04-25,CT,336210,309048,722,8047,6617,0
2021-07-29,MO,676803,0,4217,9650,0,8
2020-06-05,WI,20249,20249,357,633,633,7
2020-08-11,MD,96843,0,585,3720,3572,12
2021-01-03,MD,285319,0,2148,6386,6196,44
2020-06-28,VT,1105,0,1,55,0,0
2021-01-21,AL,434180,348036,3545,8893,7180,89
2021-04-12,MI,877897,788747,8115,17878,16796,56
2020-07-26,MT,3381,3381,39,47,47,1
2021-02-04,MI,659196,601389,1276,15995,15038,48
2020-03-01,IN,0,0,0,0,0,0
2020-10-17,WA,99336,0,898,2239,0,0
2020-10-01,IL,297929,295440,2166,8940,8696,24
2021-10-17,IL,1669441,1669441,1832,28243,25449,23
2021-11-07,WA,741456,0,1740,8798,0,0
2021-02-21,CA,3441946,3441946,6760,48807,48807,393
2021-09-07,AL,728166,555512,4823,13893,10841,72
2020-05-10,WI,10219,10219,280,400,400,2
2021-02-08,NC,799512,705873,2707,11506,10218,67
2020-02-08,IL,2,0,0,0,0,0
2021-05-26,ID,191738,153449,192,2088,1820,1
2020-12-08,NC,409370,381113,5907,6223,5945,50
2021-08-10,NH,102205,0,88,1391,0,2
2020-12-31,ID,141077,116717,1213,1436,1269,33
2021-08-09,DE,112967,104853,195,1835,1678,0
2022-01-08,IN,1329423,0,0,19614,18959,0
2021-05-10,NV,318780,318780,268,5506,0,8
2020-05-17,NV,6872,6857,210,365,0,16
2021-11-13,NH,144626,0,0,1622,0,0
2021-06-16,MO,608446,0,724,9227,0,3
2020-04-10,ID,1396,0,43,25,0,1
2020-06-28,ID,5319,4790,0,91,71,0
2021-08-29,WA,556658,0,2991,6525,0,9
2020-09-28,ME,5337,4777,37,140,139,0
2020-05-26,WI,15863,15863,279,517,517,3
2021-06-08,WI,675650,611168,202,7981,7178,16
2020-09-09,ND,14443,14443,333,160,0,3
2021-03-15,NC,879739,766927,1109,12568,11114,14
2020-06-28,NE,18797,0,97,267,0,0
2020-07-17,MO,41692,0,1026,1223,0,7
2020-02-20,MS,0,0,0,0,0,0
2021-02-11,IN,645723,0,1713,11991,11627,26
2021-09-14,CA,4566376,4372806,11851,66813,66813,97
2021-11-09,CT,406219,368465,309,8806,7216,16
2020-11-03,WI,251032,238067,6104,2171,2102,58
2022-01-05,NV,520948,502392,3702,8488,0,20
2020-03-19,NH,44,0,5,0,0,0
2021-03-04,VT,14536,0,115,204,0,0
2021-11-21,MD,578019,0,1006,11138,10907,4
2021-10-13,MT,162240,138146,1344,2109,2109,15
2021-11-08,NE,292032,221569,2750,3040,2554,39
2020-04-19,IN,11210,0,569,560,560,17
2021-10-02,MI,1162693,1033534,3271,22453,21091,14
2020-07-06,CT,46976,44997,259,4338,3466,3
2022-02-04,NV,665211,631309,2104,9144,0,60
2021-07-12,WA,456079,0,463,6000,0,1
2020-08-24,MI,197448,179225,1534,6770,6452,9
2020-09-30,NH,8266,0,33,439,0,0
2020-07-31,IL,180118,178837,1980,7692,7495,22
2021-02-03,NC,778971,688837,4593,11205,9968,64
2020-11-22,MI,438987,403219,3632,9303,8882,96
2021-06-29,ND,110707,101522,27,1528,0,0
2021-10-04,NH,122054,0,431,1485,0,2
2020-06-23,NC,54884,54872,1016,1344,1344,9
2020-12-03,MI,500334,460582,5344,10528,10039,108
2020-06-19,IN,41746,0,308,2503,2323,25
2021-10-11,ND,138902,120783,951,1652,0,10
2020-05-04,ND,1225,1225,34,25,0,0
2020-01-25,AL,0,0,0,0,0,0
2021-08-07,VT,23726,0,89,254,0,2
2021-11-25,CA,5041193,4785062,4195,73365,0,0
2022-01-02,CT,510188,457827,0,9160,7496,0
2020-01-22,ND,0,0,0,0,0,0
2021-07-21,DE,110502,102781,45,1697,1551,0
2021-10-04,DE,134984,123851,365,1972,1805,0
2020-12-30,ID,139864,115850,1340,1403,1240,10
2021-10-15,MS,498046,286118,256,9919,6638,2
2020-04-21,DE,3308,3261,278,89,79,17
2020-05-19,WI,12885,12885,198,467,467,8
2020-07-22,NC,104795,104352,1812,1862,1860,25
2021-11-04,MD,563696,0,800,10970,10739,13
2021-10-14,NC,1441979,1221685,3277,17848,15687,38
2021-08-30,ID,220163,175734,760,2331,2016,2
2020-09-11,NH,7620,0,47,434,0,0
2021-01-30,AL,457532,364486,1837,9556,7655,67
2021-04-29,NV,314928,314928,453,5459,0,11
2020-11-08,WI,281910,267410,4407,2392,2312,11
2020-03-29,MD,1239,0,247,19,19,8
2020-04-12,MT,394,0,17,6,0,0
2021-05-25,MD,458680,0,160,9625,9411,11
2020-10-12,WI,160331,152192,2016,1484,1474,9
2021-01-27,ND,97305,93074,145,1417,0,1
2021-02-17,MS,291414,181480,491,6928,4837,12
2021-09-20,DE,128692,118358,439,1920,1756,0
2020-07-09,NH,5973,0,21,387,0,1
2021-08-11,MS,376124,226661,4412,7890,5443,20
2021-08-19,ME,73461,53293,192,921,860,0
2020-04-30,AL,7171,7000,207,386,366,14
2021-05-27,MD,459095,0,217,9642,9428,9
2021-03-12,NE,205445,0,321,2124,0,2
2022-01-30,NV,648088,615774,0,8914,0,0
2021-09-25,NV,417156,417156,660,7025,0,10
2021-08-19,IL,1477465,1477465,3180,26197,23699,15
2021-11-23,DE,150876,138047,251,2162,1981,3
2020-08-23,ID,29853,27815,191,307,278,1
2020-11-12,WA,125794,0,1808,2507,0,25
2020-08-19,NE,31115,0,282,371,0,3
2021-11-27,WI,968291,864190,0,9944,8964,0
2020-09-09,DE,18607,17635,103,609,537,0
2021-12-31,ND,174626,143055,451,2012,0,0
2020-07-04,MS,35561,35032,436,1496,1463,21
2020-08-16,IL,207413,206081,1562,7955,7744,18
2020-07-13,MT,1843,1843,2,32,32,1
2020-08-19,MS,78913,75220,894,2658,2509,27
2021-07-07,ME,69192,50602,36,861,830,0
2021-04-21,MS,311000,190672,231,7274,5017,5
2021-09-22,ND,127912,113603,629,1595,0,0
2020-09-30,WA,88634,0,455,2126,0,2
2022-01-28,MS,717666,408523,5533,10831,7254,25
2020-12-01,VT,4105,0,68,76,0,4
2020-04-12,MS,4146,4121,140,298,297,15
2021-11-08,IN,1035141,0,4850,16915,16354,0
2021-06-10,DE,109258,101720,33,1679,1536,2
2021-01-01,WI,522523,483007,2085,5254,4869,12
2021-02-09,WA,322489,0,689,4558,0,107
2021-07-10,IN,757342,0,280,13909,13483,7
2020-03-09,CA,133,133,19,1,1,0
2020-05-30,WI,18230,18230,523,588,588,20
2021-09-29,IN,959409,0,2861,15617,15125,67
2021-03-09,ND,100615,95029,101,1452,0,3
2020-03-12,IN,12,0,3,0,0,0
2020-10-01,MD,125510,0,785,4072,3914,2
2020-02-09,IL,2,0,0,0,0,0
2022-01-29,MD,974436,0,2527,13432,13175,45
2022-01-25,CA,7929436,7482469,62826,78118,0,17
2020-03-31,NH,367,0,53,3,0,0
2021-07-09,NV,338072,338072,813,5720,0,13
2020-08-18,MI,190031,172503,1454,6711,6393,10
2022-02-09,NV,671322,636718,1574,9270,0,34
2020-05-28,NE,13188,0,245,164,0,1
2020-10-17,MT,22233,22233,638,240,240,5
2020-04-09,VT,588,0,18,24,0,1
2021-11-29,MT,190424,157894,353,2638,2638,7
2020-08-22,NV,65334,65069,637,1227,0,12
2022-02-07,NH,284180,0,2880,2260,0,14
2020-10-15,NC,238597,230460,2578,4212,4142,23
2021-04-30,ID,187656,150349,177,2046,1784,1
2020-08-26,MI,200147,181674,1292,6793,6475,10
2021-03-08,IL,1199517,1199517,1182,23020,20767,6
2020-11-11,ND,59173,59173,1800,697,0,11
2022-01-08,ME,153376,111755,42,1603,1469,0
2020-08-07,WI,63028,58768,1043,997,990,12
2021-04-14,DE,100553,94177,397,1591,1451,4
2020-04-08,MT,352,0,20,6,0,0
2021-10-06,CA,4734051,4524853,5386,69184,69184,157
2021-02-18,ND,99153,94150,119,1435,0,0
2020-08-05,CA,524722,524722,5295,9520,9520,171
2021-08-01,MT,116542,103846,88,1706,1706,1
2022-02-12,IN,1664353,0,0,22136,21298,0
2021-10-03,WI,818555,734383,2184,8921,8029,10
2020-03-22,WI,381,0,100,4,0,0
2021-06-19,NV,329086,0,211,5649,0,0
2020-02-05,MO,0,0,0,0,0,0
2021-06-25,IL,1390432,1390432,292,25637,23199,7
2021-03-29,AL,513924,402567,375,10952,8747,9
2020-04-29,ID,1984,1831,32,60,43,0
2021-01-23,MS,266907,170194,1120,6500,4638,17
2020-12-21,AL,326106,268103,4921,6492,5383,66
2021-03-11,WA,346790,0,674,5107,0,7
2020-11-10,IN,219338,0,4829,4716,4478,67
2021-10-30,WA,726892,0,1842,8628,0,0
2021-06-19,IL,1388939,1388939,251,25566,23133,0
2020-11-30,MO,338119,0,6712,5104,0,56
2020-06-07,AL,20749,20445,420,976,910,18
2020-08-26,NE,32788,0,375,383,0,0
2020-02-03,MI,0,0,0,0,0,0
2022-02-08,DE,251669,229586,202,2593,2379,17
2020-08-14,AL,105786,100787,1116,2867,2555,33
2020-06-15,MT,612,612,3,19,19,0
2021-09-18,AL,766298,579311,1972,14644,11410,65
2021-09-21,CA,4628212,4428117,6032,67628,67628,16
2021-10-29,ID,290872,231343,1076,3534,2949,25
2020-06-03,NV,8951,8935,121,445,0,25
2021-08-01,IN,773163,0,932,14004,13575,0
2021-10-26,ND,146387,125333,643,1746,0,11
2021-12-25,NH,189987,0,0,1877,0,0
2020-11-22,ND,73397,73397,714,846,0,6
2020-09-04,NC,176693,173532,1699,3102,3087,27
2021-07-31,MT,116454,103775,88,1705,1705,1
2020-07-10,CT,47287,45308,78,4348,3476,0
2021-02-25,IL,1181226,1181226,1884,22607,20406,32
2021-06-11,MS,319527,195651,127,7443,5136,1
2020-08-31,IN,94196,0,883,3278,3067,5
2020-08-12,IL,199893,198593,1645,7881,7672,15
2020-02-02,VT,0,0,0,0,0,0
2020-09-08,CT,53782,51594,417,4474,3589,6
2021-01-05,NV,235455,235455,2423,3235,0,29
2022-02-17,MD,996182,0,854,13988,13727,7
2022-02-07,MS,768457,425222,6095,11285,7489,35
2021-02-18,CT,271903,254980,547,7496,6145,20
2020-02-24,MI,0,0,0,0,0,0
2021-01-16,AL,420566,338127,1903,8482,6872,69
2021-10-15,ND,141268,122329,522,1680,0,11
2020-10-24,MO,182455,0,1278,3236,0,14
2021-10-10,MO,834172,0,730,11694,0,0
2020-07-09,MO,33505,0,1205,1167,0,8
2021-05-21,MD,457527,0,443,9595,9381,17
2021-03-03,NV,294684,294684,395,4987,0,20
2022-02-03,NH,279842,0,1151,2239,0,7
2020-04-14,MS,4582,4557,219,331,330,20
2020-12-27,NV,217509,217509,1856,2952,0,8
2020-09-14,DE,19163,18187,84,618,545,1
2020-09-09,IN,101485,0,705,3378,3164,17
2020-10-30,NH,10884,0,116,482,0,0
2022-02-09,CA,8742232,8166393,39312,80912,0,272
2020-10-03,WI,138002,130798,3054,1383,1372,20
2020-09-09,MT,8659,8659,278,119,119,0
2021-05-27,WA,432425,0,1216,5754,0,13
2021-10-24,ID,285245,227187,242,3413,2857,0
2021-01-29,CA,3205947,3205947,19337,38667,38667,597
2021-06-25,WI,677252,612507,66,8099,7280,7
2021-09-13,IL,1573538,1573538,3052,26969,24367,42
2022-02-26,NC,2583404,2166142,0,22500,19653,0
2020-09-28,CT,57147,54743,560,4503,3606,2
2020-06-18,MT,666,666,36,20,20,0
2020-12-07,IL,796264,796264,8691,14216,13343,100
2020-07-31,MT,3965,3965,11,60,60,2
2022-02-18,ID,413372,324080,2214,4674,3821,20
2020-03-01,NH,0,0,0,0,0,0
2022-01-24,CT,683731,614470,12057,9774,7974,5
2021-03-02,AL,495862,391652,2669,10603,8482,14
2020-03-29,NE,134,0,20,2,0,0
2020-03-10,MD,9,0,3,0,0,0
2020-04-27,NE,3507,0,342,55,0,-1
2021-08-22,WA,533910,0,2863,6374,0,9
2021-08-03,CA,4045580,3881089,7318,64096,64096,11
2022-02-01,WA,1312506,0,7362,10776,0,0
2021-03-02,DE,89098,84420,251,1426,1290,4
2020-06-29,MT,967,967,48,22,22,0
2020-03-21,WI,281,0,75,4,0,1
2020-12-02,NE,131736,0,2488,1128,0,48
2021-07-15,MT,114576,102187,68,1686,1686,3
2020-08-01,IN,67122,0,968,2952,2759,6
2020-08-26,MD,105486,0,440,3837,3684,10
2021-04-06,NV,305652,305652,295,5297,0,22
2021-11-12,NH,144626,0,2157,1622,0,5
2022-02-13,VT,100474,0,0,537,0,0
2021-02-09,CA,3354591,3354591,8251,43905,43905,170
2022-02-05,NV,665211,631309,0,9144,0,0
2020-11-15,CT,88645,82854,0,4737,3807,0
2020-09-18,DE,19563,18564,82,621,548,2
2020-12-28,CA,2155976,2155976,33170,24195,24195,74
2022-01-14,NV,572769,549198,6858,8627,0,21
2021-08-16,MI,1032520,922687,1298,21304,20030,6
2021-07-02,MS,322654,197310,158,7494,5164,4
2021-05-15,DE,107633,100316,126,1651,1509,0
2020-11-25,CA,1144049,1144049,18350,18930,18930,113
2020-05-07,NV,5766,5766,103,293,0,7
2021-11-15,WI,928290,829883,7069,9706,8747,27
2022-01-07,NH,214572,0,2620,2019,0,2
2021-07-24,WA,467018,0,1355,6081,0,3
2021-11-09,IN,1037109,0,1968,16976,16414,61
2020-07-23,MS,56587,54851,1137,2059,1975,40
2021-06-10,AL,545183,420796,139,11444,9136,3
2020-09-05,NV,71353,71102,390,1421,0,17
2020-06-09,WI,21308,21308,270,661,661,15
2021-09-27,CA,4676579,4471635,22969,68362,68362,275
2020-07-26,MO,49909,0,415,1326,0,5
2021-05-04,MI,966542,866700,2531,19412,18237,65
2021-03-19,MT,102768,95831,152,1409,1409,3
2021-05-07,MD,452035,0,768,9434,9220,10
2021-08-06,MS,360452,218804,2303,7844,5417,12
2021-08-06,DE,112298,104274,228,1833,1676,0
2021-01-05,AL,380439,308623,4647,7590,6218,70
2021-10-14,NV,440500,430170,707,7412,0,45
2020-04-08,DE,1221,1206,115,19,0,3
2020-03-03,NH,2,0,1,0,0,0
2022-02-25,WI,1570460,1380047,787,13256,11887,33
2021-07-22,ME,69834,51006,54,891,842,0
2021-07-07,CT,349743,319963,92,8278,6810,-1
2021-12-31,IN,1246854,0,0,19037,18386,0
2021-08-31,CA,4406577,4222663,9606,65287,65287,16
2021-08-09,WA,494533,0,1974,6177,0,3
2020-10-29,DE,24901,23761,191,689,608,1
2020-07-14,IN,52685,0,648,2759,2574,13
2020-08-12,MI,182575,165770,1529,6651,6333,10
2020-11-26,MI,461924,424852,2494,9715,9273,90
2020-02-17,WA,1,0,0,0,0,0
2020-05-14,NC,16716,16716,691,672,672,14
2020-10-12,MO,158257,0,2789,2871,0,20
2021-10-20,NE,278976,213660,802,2928,2461,4
2021-12-20,ND,169988,139781,553,1990,0,10
2021-12-08,IN,1140151,0,5253,17909,17310,80
2020-11-16,MD,167656,0,1726,4488,4322,16
2020-11-21,CA,1087714,1087714,15442,18681,18681,88
2020-06-19,WI,26852,24154,310,736,730,11
2020-05-22,DE,8819,7972,111,324,301,2
2021-08-25,ND,116022,105466,356,1556,0,3
2021-12-24,MD,651208,0,10636,11655,11421,27
2020-03-13,MS,194,188,37,15,14,2
2020-07-30,VT,1293,0,1,57,0,0
2022-01-19,MT,218047,176954,2059,2964,2964,7
2020-05-20,VT,869,0,1,53,0,0
2021-12-22,WI,1072270,952442,5726,10894,9804,43
2020-10-28,WA,106808,0,725,2353,0,16
2021-09-21,MT,142513,124246,1174,1901,1901,14
2020-11-13,CT,88645,82854,2746,4737,3807,11
2020-11-03,NV,103025,103025,911,1807,0,23
2020-07-28,CA,466550,466550,6000,8436,8436,24
2021-05-26,IL,1378388,1378388,1139,25057,22676,28
2020-10-22,ME,6095,5442,35,146,145,0
2021-12-24,IL,2042433,2042433,21131,30566,27435,0
2021-05-26,MT,111454,100965,77,1607,1607,1
2021-11-18,WI,941550,841040,4338,9800,8833,23
2020-05-24,NE,12103,0,170,150,0,3
2020-09-01,MT,7689,7689,196,108,108,3
2020-10-13,IL,327781,324743,2851,9272,9026,29
2021-07-09,NH,99708,0,23,1375,0,1
2021-08-18,WI,710975,641553,1685,8353,7499,17
2021-03-11,ND,100847,95186,121,1455,0,1
2021-03-07,AL,499010,394138,253,10685,8545,15
2020-10-08,NC,224915,218086,2315,4024,3970,26
2021-04-08,IL,1269196,1269196,3739,23740,21457,38
2022-01-15,MT,212078,172693,0,2945,2945,0
2022-01-31,AL,1224271,889728,5768,17778,13713,45
2021-02-16,WA,329014,0,510,4709,0,34
2021-08-17,MS,396394,236754,4085,7931,5450,0
2020-10-15,MD,133548,0,630,4165,4006,5
2021-11-19,MO,892349,0,1913,15323,0,107
2021-08-11,DE,113251,105073,161,1836,1679,0
2021-03-30,WI,635314,576632,861,7292,6612,15
2022-01-21,ME,166829,122351,1138,1698,1555,5
2021-07-01,NH,99527,0,23,1372,0,0
2020-03-24,ND,37,0,5,0,0,0
2020-06-13,WI,25031,22518,309,697,691,2
2021-01-13,MI,623278,571369,2198,14847,13986,62
2020-04-30,MD,21742,0,893,1190,1130,70
2020-04-04,VT,430,0,63,20,0,2
2022-02-14,CA,8816088,8244329,40158,82026,0,589
2020-08-30,NH,7254,0,8,432,0,0
2021-04-02,VT,18433,0,195,226,0,1
2021-08-16,WI,707327,638571,824,8324,7471,2
2021-07-17,MD,464031,0,183,9814,9597,3
2021-09-25,CA,4653610,4448666,0,68087,68087,0
2021-01-26,MI,647078,591398,1608,15595,14669,48
2020-05-20,ME,1877,1678,58,73,72,0
2020-02-22,MD,0,0,0,0,0,0
2020-09-25,WI,117329,110828,2629,1284,1274,9
2020-02-07,MT,0,0,0,0,0,0
2022-02-13,CA,8775930,8204171,0,81437,0,0
2022-01-14,NC,2043150,1715713,36942,20287,17828,51
2020-07-16,NE,22014,0,151,299,0,8
2020-03-15,MT,7,0,6,0,0,0
2021-01-01,ND,92891,89829,121,1310,0,1
2020-06-04,MT,539,539,0,17,17,0
2020-12-04,MI,505282,465160,4948,10665,10164,137
2020-06-14,NE,16666,0,105,216,0,0
